,G2cruise,G2station,G2latitude,G2longitude,G2pressure,G2theta,G2salinity,G2salinityf
206547,275,10.0,47.095,-19.91,192.54,12.190999999999999,35.661,2
206572,275,11.0,46.85,-19.735,102.8,12.4,35.677,2
206574,275,11.0,46.85,-19.735,161.28,12.177,35.66,2
206575,275,11.0,46.85,-19.735,197.58,12.046,35.647,2
206576,275,11.0,46.85,-19.735,199.6,12.055,35.654,2
206603,275,12.0,46.803000000000004,-19.468,101.79,12.355,35.678000000000004,2
206605,275,12.0,46.803000000000004,-19.468,120.95,12.323,35.676,2
206607,275,12.0,46.803000000000004,-19.468,161.28,12.243,35.667,2
206608,275,12.0,46.803000000000004,-19.468,162.28,12.273,35.67,2
206609,275,12.0,46.803000000000004,-19.468,200.6,12.095,35.65,2
206610,275,12.0,46.803000000000004,-19.468,200.6,12.107000000000001,35.652,2
206631,275,13.0,46.703,-19.503,84.655,12.392999999999999,35.677,2
206632,275,13.0,46.703,-19.503,102.8,12.309000000000001,35.676,2
206633,275,13.0,46.703,-19.503,104.82,12.347999999999999,35.67,2
206634,275,13.0,46.703,-19.503,122.96,12.35,35.67,2
206635,275,13.0,46.703,-19.503,152.2,12.104000000000001,35.657,2
206636,275,13.0,46.703,-19.503,155.23,12.285,35.662,2
206637,275,13.0,46.703,-19.503,200.6,12.227,35.663000000000004,2
206639,275,13.0,46.703,-19.503,302.49,11.987,35.645,2
206665,275,14.0,46.52,-19.53,149.18,12.284,35.671,2
206666,275,14.0,46.52,-19.53,157.24,12.255999999999998,35.664,2
206667,275,14.0,46.52,-19.53,204.64,12.241,35.671,2
206669,275,14.0,46.52,-19.53,307.54,12.002,35.646,2
206694,275,15.0,46.306999999999995,-19.667,102.8,12.372,35.673,2
206695,275,15.0,46.306999999999995,-19.667,122.96,12.319,35.671,2
206696,275,15.0,46.306999999999995,-19.667,123.97,12.270999999999999,35.66,2
206697,275,15.0,46.306999999999995,-19.667,161.28,12.158,35.645,2
206699,275,15.0,46.306999999999995,-19.667,193.55,12.062999999999999,35.641999999999996,2
206717,275,16.0,46.438,-20.183,63.488,12.265999999999998,35.67,2
206718,275,16.0,46.438,-20.183,82.639,12.24,35.657,2
206719,275,16.0,46.438,-20.183,83.647,12.125,35.65,2
206720,275,16.0,46.438,-20.183,102.8,12.195,35.654,2
206721,275,16.0,46.438,-20.183,103.81,12.08,35.645,2
206722,275,16.0,46.438,-20.183,121.95,12.079,35.643,2
206723,275,16.0,46.438,-20.183,123.97,12.049000000000001,35.641999999999996,2
206724,275,16.0,46.438,-20.183,162.28,12.011,35.644,2
206726,275,16.0,46.438,-20.183,201.61,11.98,35.64,2
206733,275,17.0,46.78,-20.238,2.0152,12.452,35.654,2
206738,275,17.0,46.78,-20.238,23.176,12.449000000000002,35.655,2
206739,275,17.0,46.78,-20.238,23.176,12.414000000000001,35.654,2
206742,275,17.0,46.78,-20.238,42.323,12.095999999999998,35.644,2
206743,275,17.0,46.78,-20.238,43.331,12.270999999999999,35.650999999999996,2
206745,275,17.0,46.78,-20.238,62.48,12.062999999999999,35.641999999999996,2
206746,275,17.0,46.78,-20.238,63.488,12.069,35.64,2
206747,275,17.0,46.78,-20.238,82.639,12.037,35.64,2
206748,275,17.0,46.78,-20.238,82.639,12.052999999999999,35.646,2
206749,275,17.0,46.78,-20.238,102.8,12.023,35.641,2
206750,275,17.0,46.78,-20.238,102.8,12.025,35.644,2
206751,275,17.0,46.78,-20.238,121.95,12.004000000000001,35.644,2
206752,275,17.0,46.78,-20.238,122.96,12.01,35.643,2
206753,275,17.0,46.78,-20.238,162.28,11.965,35.641,2
206763,275,18.0,46.76,-20.155,2.0152,12.602,35.650999999999996,2
206769,275,18.0,46.76,-20.155,23.176,12.540999999999999,35.654,2
206770,275,18.0,46.76,-20.155,23.176,12.51,35.649,2
206773,275,18.0,46.76,-20.155,42.323,12.04,35.64,2
206774,275,18.0,46.76,-20.155,43.331,12.261,35.665,2
206775,275,18.0,46.76,-20.155,62.48,11.982999999999999,35.641,2
206776,275,18.0,46.76,-20.155,63.488,12.139000000000001,35.652,2
206777,275,18.0,46.76,-20.155,82.639,12.068,35.65,2
206780,275,18.0,46.76,-20.155,102.8,12.054,35.65,2
206781,275,18.0,46.76,-20.155,121.95,12.013,35.644,2
206782,275,18.0,46.76,-20.155,121.95,11.949000000000002,35.64,2
206783,275,18.0,46.76,-20.155,160.27,11.970999999999998,35.64,2
206795,275,19.0,46.628,-20.19,2.0152,12.495,35.641999999999996,2
206796,275,19.0,46.628,-20.19,2.0152,12.545,35.644,2
206802,275,19.0,46.628,-20.19,24.184,12.485,35.641999999999996,2
206805,275,19.0,46.628,-20.19,43.331,12.417,35.64,2
206809,275,19.0,46.628,-20.19,83.647,12.056,35.64,2
206838,275,20.0,46.695,-20.137999999999998,83.647,12.228,35.643,2
206839,275,20.0,46.695,-20.137999999999998,103.81,12.075,35.643,2
206840,275,20.0,46.695,-20.137999999999998,123.97,12.037,35.650999999999996,2
206841,275,20.0,46.695,-20.137999999999998,163.29,11.98,35.641,2
206842,275,20.0,46.695,-20.137999999999998,203.63,11.927999999999999,35.641,2
206858,275,21.0,46.495,-19.023,43.331,12.53,35.647,2
206860,275,21.0,46.495,-19.023,63.488,12.31,35.643,2
206862,275,21.0,46.495,-19.023,83.647,12.269,35.646,2
206864,275,21.0,46.495,-19.023,103.81,12.269,35.664,2
206884,275,22.0,46.528,-18.97,27.206999999999997,12.685,35.659,2
206885,275,22.0,46.528,-18.97,32.246,12.597000000000001,35.659,2
206887,275,22.0,46.528,-18.97,52.402,12.415999999999999,35.646,2
206913,275,23.0,46.446999999999996,-19.122,23.176,12.591,35.661,2
206916,275,23.0,46.446999999999996,-19.122,32.246,12.527999999999999,35.66,2
206919,275,23.0,46.446999999999996,-19.122,63.488,12.277999999999999,35.664,2
206921,275,23.0,46.446999999999996,-19.122,92.719,12.145999999999999,35.648,2
206942,275,24.0,41.097,-23.03,299.46,12.442,35.678000000000004,2
206962,275,25.0,46.48,-17.797,43.331,12.53,35.67,2
206965,275,25.0,46.48,-17.797,53.409,12.324000000000002,35.661,2
206967,275,25.0,46.48,-17.797,63.488,12.315999999999999,35.653,2
206969,275,25.0,46.48,-17.797,78.607,12.224,35.661,2
206970,275,25.0,46.48,-17.797,92.719,12.255999999999998,35.671,2
206971,275,25.0,46.48,-17.797,103.81,12.18,35.662,2
206972,275,25.0,46.48,-17.797,122.96,12.187000000000001,35.664,2
206973,275,25.0,46.48,-17.797,128.0,12.115,35.652,2
206999,275,26.0,46.413000000000004,-17.692999999999998,33.253,12.681,35.662,2
207000,275,26.0,46.413000000000004,-17.692999999999998,39.3,12.477,35.663000000000004,2
207001,275,26.0,46.413000000000004,-17.692999999999998,42.323,12.429,35.673,2
207002,275,26.0,46.413000000000004,-17.692999999999998,47.361999999999995,12.299000000000001,35.666,2
207003,275,26.0,46.413000000000004,-17.692999999999998,62.48,12.284,35.672,2
207004,275,26.0,46.413000000000004,-17.692999999999998,62.48,12.215,35.659,2
207005,275,26.0,46.413000000000004,-17.692999999999998,82.639,12.229000000000001,35.668,2
207006,275,26.0,46.413000000000004,-17.692999999999998,92.719,12.088,35.646,2
207007,275,26.0,46.413000000000004,-17.692999999999998,102.8,12.177999999999999,35.662,2
207008,275,26.0,46.413000000000004,-17.692999999999998,122.96,12.03,35.645,2
207009,275,26.0,46.413000000000004,-17.692999999999998,153.21,11.995999999999999,35.641999999999996,2
207035,275,27.0,46.528,-17.685,38.292,12.573,35.652,2
207038,275,27.0,46.528,-17.685,46.355,12.33,35.66,2
