LATITUDE;LONGITUDE;CTDPRS;CTDTPOT;CTDSAL;EDW;ENACW12;WNACW7;SPMW;SACWT12;SACWE12;WW;AAIW5;AAIW3;MW;LSW;ISOW;DSOW;CDW;WSDW
57,394;-40,116;1369,9;2,7847;34,844;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
56,804;-39,331;600,5;3,0617;34,859;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
56,804;-39,331;759,4;2,9052;34,854;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
56,804;-39,331;961,1;2,8865;34,852;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
56,804;-39,331;1168,1;2,8478;34,852;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
56,804;-39,331;1390,5;2,7698;34,846;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
56,212;-38,55;1008,8;3,0287;34,863;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
56,212;-38,55;1191,7;2,96;34,863;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
56,212;-38,55;1355,1;2,8989;34,86;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
55,627;-37,812;991,2;3,0564;34,878;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
55,627;-37,812;1179,4;3,0107;34,871;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
55,627;-37,812;1387,3;2,9585;34,874;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
54,342;-36,821;1298,4;3,0064;34,868;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
53,029;-36,458;1305,7;2,9939;34,877;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
53,029;-36,458;1483,6;2,9611;34,87;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
52,37;-36,317;1201,2;3,0823;34,87;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
52,37;-36,317;1395,9;2,9886;34,867;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
51,705;-36,109;1397,2;3,0376;34,867;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
51,062;-35,947;1354,6;3,0512;34,866;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
55,261;-53,956;850;3,033;34,855;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
55,261;-53,956;1030;2,9914;34,86;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
55,261;-53,956;1203,9;2,8493;34,851;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
